timestamp,demand_mw,irradiance_w_m2,ambient_temperature_c,wind_speed_m_s
2026-01-06 18:00:00+00:00,274.891,0.0,15.036,7.383
2026-01-06 19:00:00+00:00,283.154,0.0,13.999,5.587
2026-01-06 20:00:00+00:00,278.773,0.0,12.79,5.986
2026-01-06 21:00:00+00:00,269.082,0.0,11.491,6.979
2026-01-06 22:00:00+00:00,258.703,0.0,10.189,4.752
2026-01-06 23:00:00+00:00,241.722,0.0,8.974,5.186
2026-01-07 00:00:00+00:00,215.191,0.0,7.927,5.091
2026-01-07 01:00:00+00:00,212.219,0.0,7.119,5.927
2026-01-07 02:00:00+00:00,213.85,0.0,6.604,7.087
2026-01-07 03:00:00+00:00,217.24,0.0,6.416,7.288
2026-01-07 04:00:00+00:00,210.726,0.0,6.567,7.165
2026-01-07 05:00:00+00:00,223.381,0.0,7.045,5.816
2026-01-07 06:00:00+00:00,231.817,0.0,7.816,5.019
2026-01-07 07:00:00+00:00,239.235,0.0,8.826,6.748
2026-01-07 08:00:00+00:00,244.369,181.238,10.005,6.083
2026-01-07 09:00:00+00:00,249.777,339.739,11.27,6.515
2026-01-07 10:00:00+00:00,229.864,461.026,12.533,6.341
2026-01-07 11:00:00+00:00,230.7,534.608,13.707,5.488
2026-01-07 12:00:00+00:00,212.707,554.813,14.708,5.573
2026-01-07 13:00:00+00:00,220.024,521.149,15.467,4.75
2026-01-07 14:00:00+00:00,228.448,438.177,15.929,4.631
2026-01-07 15:00:00+00:00,241.002,314.927,16.061,3.346
2026-01-07 16:00:00+00:00,254.862,163.933,15.85,3.551
2026-01-07 17:00:00+00:00,268.549,0.0,15.309,3.734
2026-01-07 18:00:00+00:00,272.71,0.0,14.471,4.222
2026-01-07 19:00:00+00:00,275.627,0.0,13.391,3.348
2026-01-07 20:00:00+00:00,278.14,0.0,12.139,4.284
2026-01-07 21:00:00+00:00,262.415,0.0,10.798,3.955
2026-01-07 22:00:00+00:00,243.079,0.0,9.456,4.454
2026-01-07 23:00:00+00:00,229.784,0.0,8.201,5.653
2026-01-08 00:00:00+00:00,201.789,0.0,7.115,3.873
2026-01-08 01:00:00+00:00,208.706,0.0,6.27,4.919
2026-01-08 02:00:00+00:00,207.215,0.0,5.718,5.246
2026-01-08 03:00:00+00:00,211.4,0.0,5.495,5.002
2026-01-08 04:00:00+00:00,209.514,0.0,5.613,6.705
2026-01-08 05:00:00+00:00,219.195,0.0,6.058,8.152
2026-01-08 06:00:00+00:00,230.512,0.0,6.798,7.544
2026-01-08 07:00:00+00:00,233.901,0.0,7.779,8.061
2026-01-08 08:00:00+00:00,240.859,163.933,8.929,8.817
2026-01-08 09:00:00+00:00,231.645,314.927,10.168,8.974
2026-01-08 10:00:00+00:00,224.863,438.177,11.406,7.757
2026-01-08 11:00:00+00:00,216.278,521.149,12.556,8.751
2026-01-08 12:00:00+00:00,207.324,554.813,13.536,7.574
2026-01-08 13:00:00+00:00,216.18,534.608,14.274,6.662
2026-01-08 14:00:00+00:00,217.209,461.026,14.718,6.712
2026-01-08 15:00:00+00:00,229.942,339.739,14.832,5.904
2026-01-08 16:00:00+00:00,245.418,181.238,14.606,6.343
2026-01-08 17:00:00+00:00,258.433,0.0,14.051,6.811
2026-01-08 18:00:00+00:00,269.32,0.0,13.202,7.871
2026-01-08 19:00:00+00:00,268.92,0.0,12.112,8.824
2026-01-08 20:00:00+00:00,263.153,0.0,10.852,6.646
2026-01-08 21:00:00+00:00,254.35,0.0,9.505,8.445
2026-01-08 22:00:00+00:00,232.367,0.0,8.158,7.736
2026-01-08 23:00:00+00:00,219.543,0.0,6.9,9.423
2026-01-09 00:00:00+00:00,191.095,0.0,5.814,9.428
2026-01-09 01:00:00+00:00,192.563,0.0,4.969,8.546
2026-01-09 02:00:00+00:00,199.848,0.0,4.42,11.194
2026-01-09 03:00:00+00:00,194.797,0.0,4.202,10.348
2026-01-09 04:00:00+00:00,201.179,0.0,4.325,10.706
2026-01-09 05:00:00+00:00,216.372,0.0,4.779,10.481
2026-01-09 06:00:00+00:00,217.143,0.0,5.529,10.911
2026-01-09 07:00:00+00:00,230.753,0.0,6.522,11.766
2026-01-09 08:00:00+00:00,225.614,228.518,7.686,11.154
2026-01-09 09:00:00+00:00,225.737,439.665,8.939,11.353
2026-01-09 10:00:00+00:00,213.85,611.731,10.195,11.082
2026-01-09 11:00:00+00:00,208.538,726.493,11.363,11.49
2026-01-09 12:00:00+00:00,209.687,771.187,12.363,9.761
2026-01-09 13:00:00+00:00,197.436,739.952,13.123,8.441
2026-01-09 14:00:00+00:00,214.213,634.579,13.59,10.074
2026-01-09 15:00:00+00:00,223.721,464.477,13.73,8.587
2026-01-09 16:00:00+00:00,232.873,245.824,13.531,9.431
2026-01-09 17:00:00+00:00,241.988,0.0,13.004,8.603
2026-01-09 18:00:00+00:00,259.569,0.0,12.184,8.028
2026-01-09 19:00:00+00:00,260.187,0.0,11.125,8.333
2026-01-09 20:00:00+00:00,260.072,0.0,9.898,9.617
2026-01-09 21:00:00+00:00,248.722,0.0,8.584,9.793
2026-01-09 22:00:00+00:00,242.91,0.0,7.273,8.32
2026-01-09 23:00:00+00:00,219.922,0.0,6.051,8.566
2026-01-10 00:00:00+00:00,157.18,0.0,5.002,9.489
2026-01-10 01:00:00+00:00,163.292,0.0,4.196,8.136
2026-01-10 02:00:00+00:00,164.061,0.0,3.687,9.233
2026-01-10 03:00:00+00:00,171.504,0.0,3.509,9.048
2026-01-10 04:00:00+00:00,172.906,0.0,3.675,9.351
2026-01-10 05:00:00+00:00,177.605,0.0,4.171,8.38
2026-01-10 06:00:00+00:00,192.475,0.0,4.964,7.628
2026-01-10 07:00:00+00:00,187.651,0.0,6.001,7.0
2026-01-10 08:00:00+00:00,193.913,245.824,7.21,7.431
2026-01-10 09:00:00+00:00,189.265,464.477,8.509,7.544
2026-01-10 10:00:00+00:00,184.093,634.579,9.811,7.199
2026-01-10 11:00:00+00:00,171.103,739.952,11.026,8.462
2026-01-10 12:00:00+00:00,176.73,771.187,12.073,7.257
2026-01-10 13:00:00+00:00,173.348,726.493,12.881,5.068
2026-01-10 14:00:00+00:00,173.394,611.731,13.396,5.614
2026-01-10 15:00:00+00:00,186.483,439.665,13.584,4.563
2026-01-10 16:00:00+00:00,206.763,228.518,13.433,4.292
2026-01-10 17:00:00+00:00,223.085,0.0,12.955,4.39
2026-01-10 18:00:00+00:00,239.192,0.0,12.184,4.563
2026-01-10 19:00:00+00:00,247.728,0.0,11.174,3.728
2026-01-10 20:00:00+00:00,231.629,0.0,9.995,4.887
2026-01-10 21:00:00+00:00,214.637,0.0,8.73,3.254
2026-01-10 22:00:00+00:00,195.535,0.0,7.467,4.385
2026-01-10 23:00:00+00:00,194.07,0.0,6.293,6.731
2026-01-11 00:00:00+00:00,160.164,0.0,5.292,5.144
2026-01-11 01:00:00+00:00,162.565,0.0,4.533,6.438
2026-01-11 02:00:00+00:00,162.458,0.0,4.071,5.68
2026-01-11 03:00:00+00:00,166.87,0.0,3.939,6.355
2026-01-11 04:00:00+00:00,177.231,0.0,4.15,6.074
2026-01-11 05:00:00+00:00,180.076,0.0,4.691,6.145
2026-01-11 06:00:00+00:00,188.131,0.0,5.529,5.742
2026-01-11 07:00:00+00:00,192.472,0.0,6.609,6.712
2026-01-11 08:00:00+00:00,193.078,181.238,7.861,5.611
2026-01-11 09:00:00+00:00,196.084,339.739,9.202,6.68
2026-01-11 10:00:00+00:00,190.662,461.026,10.544,6.817
2026-01-11 11:00:00+00:00,191.979,534.608,11.799,6.007
2026-01-11 12:00:00+00:00,179.616,554.813,12.885,5.238
2026-01-11 13:00:00+00:00,185.033,521.149,13.73,5.595
2026-01-11 14:00:00+00:00,184.154,438.177,14.282,4.785
2026-01-11 15:00:00+00:00,191.772,314.927,14.505,5.637
2026-01-11 16:00:00+00:00,206.731,163.933,14.387,3.358
2026-01-11 17:00:00+00:00,221.845,0.0,13.942,4.579
2026-01-11 18:00:00+00:00,246.635,0.0,13.202,3.379
2026-01-11 19:00:00+00:00,236.034,0.0,12.221,4.002
2026-01-11 20:00:00+00:00,240.919,0.0,11.071,6.612
2026-01-11 21:00:00+00:00,222.417,0.0,9.832,6.648
2026-01-11 22:00:00+00:00,218.368,0.0,8.594,5.837
2026-01-11 23:00:00+00:00,202.329,0.0,7.444,5.741
2026-01-12 00:00:00+00:00,201.264,0.0,6.464,5.128
2026-01-12 01:00:00+00:00,202.392,0.0,5.726,7.622
2026-01-12 02:00:00+00:00,200.322,0.0,5.282,10.524
2026-01-12 03:00:00+00:00,207.995,0.0,5.168,9.416
2026-01-12 04:00:00+00:00,207.918,0.0,5.394,9.031
2026-01-12 05:00:00+00:00,211.545,0.0,5.949,10.174
2026-01-12 06:00:00+00:00,220.994,0.0,6.798,8.779
2026-01-12 07:00:00+00:00,237.039,0.0,7.888,9.914
2026-01-12 08:00:00+00:00,247.927,163.933,9.148,10.257
2026-01-12 09:00:00+00:00,237.938,314.927,10.495,10.042
2026-01-12 10:00:00+00:00,228.991,438.177,11.842,10.601
2026-01-12 11:00:00+00:00,223.24,521.149,13.1,10.044
2026-01-12 12:00:00+00:00,224.172,554.813,14.186,10.067
2026-01-12 13:00:00+00:00,219.888,534.608,15.031,8.735
2026-01-12 14:00:00+00:00,223.249,461.026,15.58,9.77
2026-01-12 15:00:00+00:00,241.851,339.739,15.798,10.156
2026-01-12 16:00:00+00:00,252.281,181.238,15.675,7.932
2026-01-12 17:00:00+00:00,271.677,0.0,15.221,7.922
2026-01-12 18:00:00+00:00,275.369,0.0,14.471,9.703
2026-01-12 19:00:00+00:00,272.401,0.0,13.478,8.566
2026-01-12 20:00:00+00:00,268.178,0.0,12.314,10.003
2026-01-12 21:00:00+00:00,273.377,0.0,11.061,8.756
2026-01-12 22:00:00+00:00,260.406,0.0,9.805,10.557
2026-01-12 23:00:00+00:00,237.46,0.0,8.637,9.814
2026-01-13 00:00:00+00:00,207.949,0.0,7.637,10.241
2026-01-13 01:00:00+00:00,217.575,0.0,6.877,11.599
2026-01-13 02:00:00+00:00,205.576,0.0,6.41,10.331
2026-01-13 03:00:00+00:00,208.639,0.0,6.27,10.08
2026-01-13 04:00:00+00:00,220.579,0.0,6.469,10.605
2026-01-13 05:00:00+00:00,222.682,0.0,6.996,11.362
2026-01-13 06:00:00+00:00,234.143,0.0,7.816,9.68
2026-01-13 07:00:00+00:00,241.937,0.0,8.875,11.268
2026-01-13 08:00:00+00:00,248.081,228.518,10.102,10.05
2026-01-13 09:00:00+00:00,250.312,439.665,11.416,11.029
2026-01-13 10:00:00+00:00,235.939,611.731,12.727,7.749
2026-01-13 11:00:00+00:00,230.691,726.493,13.949,8.533
2026-01-13 12:00:00+00:00,212.802,771.187,14.998,7.279
2026-01-13 13:00:00+00:00,223.701,739.952,15.804,7.427
2026-01-13 14:00:00+00:00,225.976,634.579,16.313,7.764
2026-01-13 15:00:00+00:00,234.843,464.477,16.491,6.945
2026-01-13 16:00:00+00:00,250.085,245.824,16.325,6.472
2026-01-13 17:00:00+00:00,266.382,0.0,15.829,6.215
2026-01-13 18:00:00+00:00,282.798,0.0,15.036,6.263
2026-01-13 19:00:00+00:00,275.361,0.0,13.999,5.147
2026-01-13 20:00:00+00:00,278.342,0.0,12.79,6.466
2026-01-13 21:00:00+00:00,265.568,0.0,11.491,6.462
2026-01-13 22:00:00+00:00,252.707,0.0,10.189,6.342
2026-01-13 23:00:00+00:00,245.617,0.0,8.974,6.633
2026-01-14 00:00:00+00:00,214.487,0.0,7.927,6.609
2026-01-14 01:00:00+00:00,218.568,0.0,7.119,8.19
2026-01-14 02:00:00+00:00,211.632,0.0,6.604,6.666
2026-01-14 03:00:00+00:00,210.604,0.0,6.416,6.623
2026-01-14 04:00:00+00:00,216.892,0.0,6.567,6.341
2026-01-14 05:00:00+00:00,226.192,0.0,7.045,6.121
2026-01-14 06:00:00+00:00,235.051,0.0,7.816,5.872
2026-01-14 07:00:00+00:00,237.007,0.0,8.826,5.993
2026-01-14 08:00:00+00:00,246.197,245.824,10.005,6.404
2026-01-14 09:00:00+00:00,243.444,464.477,11.27,6.415
2026-01-14 10:00:00+00:00,246.78,634.579,12.533,5.821
2026-01-14 11:00:00+00:00,235.243,739.952,13.707,4.765
2026-01-14 12:00:00+00:00,216.855,771.187,14.708,5.685
2026-01-14 13:00:00+00:00,220.261,726.493,15.467,5.158
2026-01-14 14:00:00+00:00,220.317,611.731,15.929,4.08
2026-01-14 15:00:00+00:00,235.117,439.665,16.061,3.388
2026-01-14 16:00:00+00:00,252.884,228.518,15.85,4.134
2026-01-14 17:00:00+00:00,270.612,0.0,15.309,3.727
2026-01-14 18:00:00+00:00,270.808,0.0,14.471,2.407
2026-01-14 19:00:00+00:00,274.668,0.0,13.391,3.609
2026-01-14 20:00:00+00:00,263.114,0.0,12.139,4.077
2026-01-14 21:00:00+00:00,262.559,0.0,10.798,3.448
2026-01-14 22:00:00+00:00,244.145,0.0,9.456,4.7
2026-01-14 23:00:00+00:00,232.803,0.0,8.201,3.826
2026-01-15 00:00:00+00:00,202.002,0.0,7.115,6.536
2026-01-15 01:00:00+00:00,205.749,0.0,6.27,6.955
2026-01-15 02:00:00+00:00,197.714,0.0,5.718,6.23
2026-01-15 03:00:00+00:00,200.613,0.0,5.495,7.16
2026-01-15 04:00:00+00:00,222.296,0.0,5.613,5.32
2026-01-15 05:00:00+00:00,211.965,0.0,6.058,6.627
2026-01-15 06:00:00+00:00,221.9,0.0,6.798,7.537
2026-01-15 07:00:00+00:00,244.632,0.0,7.779,7.045
2026-01-15 08:00:00+00:00,253.1,181.238,8.929,8.518
2026-01-15 09:00:00+00:00,229.097,339.739,10.168,9.509
2026-01-15 10:00:00+00:00,224.837,461.026,11.406,6.871
2026-01-15 11:00:00+00:00,219.894,534.608,12.556,6.998
2026-01-15 12:00:00+00:00,221.947,554.813,13.536,7.688
2026-01-15 13:00:00+00:00,208.81,521.149,14.274,8.621
2026-01-15 14:00:00+00:00,218.33,438.177,14.718,6.21
2026-01-15 15:00:00+00:00,233.767,314.927,14.832,7.288
2026-01-15 16:00:00+00:00,245.188,163.933,14.606,8.511
2026-01-15 17:00:00+00:00,254.32,0.0,14.051,5.776
2026-01-15 18:00:00+00:00,265.324,0.0,13.202,6.203
2026-01-15 19:00:00+00:00,262.537,0.0,12.112,7.109
2026-01-15 20:00:00+00:00,264.079,0.0,10.852,7.336
2026-01-15 21:00:00+00:00,253.417,0.0,9.505,8.781
2026-01-15 22:00:00+00:00,241.965,0.0,8.158,8.762
2026-01-15 23:00:00+00:00,224.002,0.0,6.9,7.624
2026-01-16 00:00:00+00:00,200.066,0.0,5.814,9.945
2026-01-16 01:00:00+00:00,202.613,0.0,4.969,9.549
2026-01-16 02:00:00+00:00,198.626,0.0,4.42,11.471
2026-01-16 03:00:00+00:00,201.084,0.0,4.202,10.33
2026-01-16 04:00:00+00:00,203.335,0.0,4.325,10.623
2026-01-16 05:00:00+00:00,209.876,0.0,4.779,11.77
2026-01-16 06:00:00+00:00,215.316,0.0,5.529,12.045
2026-01-16 07:00:00+00:00,228.648,0.0,6.522,11.782
2026-01-16 08:00:00+00:00,229.796,163.933,7.686,9.957
2026-01-16 09:00:00+00:00,237.23,314.927,8.939,11.52
2026-01-16 10:00:00+00:00,226.467,438.177,10.195,9.965
2026-01-16 11:00:00+00:00,212.162,521.149,11.363,10.622
2026-01-16 12:00:00+00:00,201.67,554.813,12.363,8.896
2026-01-16 13:00:00+00:00,200.511,534.608,13.123,9.979
2026-01-16 14:00:00+00:00,217.997,461.026,13.59,8.575
2026-01-16 15:00:00+00:00,223.846,339.739,13.73,7.826
2026-01-16 16:00:00+00:00,238.245,181.238,13.531,9.11
2026-01-16 17:00:00+00:00,240.496,0.0,13.004,8.489
2026-01-16 18:00:00+00:00,263.846,0.0,12.184,7.642
2026-01-16 19:00:00+00:00,265.107,0.0,11.125,9.215
2026-01-16 20:00:00+00:00,253.356,0.0,9.898,7.703
2026-01-16 21:00:00+00:00,246.255,0.0,8.584,8.157
2026-01-16 22:00:00+00:00,236.22,0.0,7.273,8.48
2026-01-16 23:00:00+00:00,221.381,0.0,6.051,7.942
2026-01-17 00:00:00+00:00,160.837,0.0,5.002,9.005
2026-01-17 01:00:00+00:00,161.879,0.0,4.196,8.385
2026-01-17 02:00:00+00:00,161.701,0.0,3.687,8.637
2026-01-17 03:00:00+00:00,165.471,0.0,3.509,10.159
2026-01-17 04:00:00+00:00,176.088,0.0,3.675,8.267
2026-01-17 05:00:00+00:00,162.988,0.0,4.171,7.116
2026-01-17 06:00:00+00:00,183.975,0.0,4.964,10.189
2026-01-17 07:00:00+00:00,194.478,0.0,6.001,10.697
2026-01-17 08:00:00+00:00,198.592,228.518,7.21,8.001
2026-01-17 09:00:00+00:00,192.039,439.665,8.509,6.362
2026-01-17 10:00:00+00:00,177.259,611.731,9.811,7.185
2026-01-17 11:00:00+00:00,179.627,726.493,11.026,6.683
2026-01-17 12:00:00+00:00,182.191,771.187,12.073,6.22
2026-01-17 13:00:00+00:00,166.79,739.952,12.881,4.947
2026-01-17 14:00:00+00:00,185.067,634.579,13.396,5.799
2026-01-17 15:00:00+00:00,189.918,464.477,13.584,5.309
2026-01-17 16:00:00+00:00,204.889,245.824,13.433,3.324
2026-01-17 17:00:00+00:00,213.63,0.0,12.955,4.801
2026-01-17 18:00:00+00:00,227.536,0.0,12.184,5.709
2026-01-17 19:00:00+00:00,239.659,0.0,11.174,4.137
2026-01-17 20:00:00+00:00,232.47,0.0,9.995,3.766
2026-01-17 21:00:00+00:00,228.246,0.0,8.73,4.054
2026-01-17 22:00:00+00:00,212.082,0.0,7.467,4.872
2026-01-17 23:00:00+00:00,194.927,0.0,6.293,3.269
2026-01-18 00:00:00+00:00,172.948,0.0,5.292,5.097
2026-01-18 01:00:00+00:00,166.837,0.0,4.533,4.979
2026-01-18 02:00:00+00:00,169.658,0.0,4.071,7.086
2026-01-18 03:00:00+00:00,166.091,0.0,3.939,5.751
2026-01-18 04:00:00+00:00,172.234,0.0,4.15,7.454
2026-01-18 05:00:00+00:00,175.804,0.0,4.691,5.398
2026-01-18 06:00:00+00:00,193.872,0.0,5.529,6.835
2026-01-18 07:00:00+00:00,191.759,0.0,6.609,6.623
2026-01-18 08:00:00+00:00,205.363,245.824,7.861,5.597
2026-01-18 09:00:00+00:00,197.562,464.477,9.202,6.289
2026-01-18 10:00:00+00:00,196.787,634.579,10.544,6.918
2026-01-18 11:00:00+00:00,186.894,739.952,11.799,5.455
2026-01-18 12:00:00+00:00,188.068,771.187,12.885,4.114
2026-01-18 13:00:00+00:00,183.774,726.493,13.73,5.218
2026-01-18 14:00:00+00:00,178.79,611.731,14.282,4.31
2026-01-18 15:00:00+00:00,197.362,439.665,14.505,4.615
2026-01-18 16:00:00+00:00,205.697,228.518,14.387,4.758
2026-01-18 17:00:00+00:00,222.88,0.0,13.942,3.483
2026-01-18 18:00:00+00:00,243.549,0.0,13.202,3.679
2026-01-18 19:00:00+00:00,243.329,0.0,12.221,5.583
2026-01-18 20:00:00+00:00,233.232,0.0,11.071,5.103
2026-01-18 21:00:00+00:00,221.863,0.0,9.832,3.88
2026-01-18 22:00:00+00:00,213.874,0.0,8.594,7.04
2026-01-18 23:00:00+00:00,194.321,0.0,7.444,7.161
